id,Title,Категории нападений,Регионы,Количество пострадавших,Пол,Возраст,Гражданство,Категория пострадавшего,Дата нападения - от,Дата нападения - до,Время суток,Точное время,Тип места нападения,Маркер_lat,Маркер_lng,Характер нападения,Использование оружия,Категория оружия,Кража имущества,Выкрики при нападении,Соотношение агрессоров и жертв,Количество нападавших
190,msk_2013_08_002,Пострадавший жив - Виновный не найден,Москва,2,Мужской,Нет данных,Сирия,ЛГБТ,24.08.2013,24.08.2013,Вечер,22:30,Салон транспортного средства,55.757879,37.616635,Избиение / ранение,Да,Газовый баллончик,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших столько же, сколько жертв",1
191,msk_2013_11_004,Пострадавший жив - Виновный найден,Москва,1,Мужской,Нет данных,Камерун,Темнокожие,30.11.2013,30.11.2013,Вечер,23:00,Вблизи транспортных путей,55.779514,37.601062,Избиение / ранение,Да,Нож,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",2
193,msk_2014_04_003,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Кот-д&#8217;Ивуар,Темнокожие,07.04.2014,07.04.2014,Вечер,23:00,Вблизи транспортных путей,55.81346601,37.73502811,Угроза убийством / расправой,Да,Бита,Кража имущества была,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",7
194,msk_2014_06_002,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,17.06.2014,17.06.2014,Вечер,21:00 &#8212; 21:30,Вблизи транспортных путей,55.80517032,37.51255631,Избиение / ранение,Да,"Газовый баллончик, Палка",Кража имущества была,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",10-15
197,msk_2014_06_001,Летальный исход - Виновный найден,Москва,1,Мужской,Взрослые,Азербайджан,Выходцы с Кавказа,02.06.2014,02.06.2014,Вечер,Нет данных,Улица,55.85490018,37.64974416,Убийство,Нет информации,Нет данных,Кража имущества была,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",10-15 человек
198,msk_2014_04_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,18.04.2014,18.04.2014,Вечер,Нет данных,Вблизи транспортных путей,55.814527,37.73333832,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
200,msk_2014_03_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,29.03.2014,29.03.2014,Вечер,23:15,Улица,55.666754,37.73839116,Убийство,Да,"Нож, Топор",О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
203,msk_2014_10_003,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,11.10.2014,12.10.2014,Ночь,Нет данных,Вблизи транспортных путей,55.67960671,37.66501112,Избиение / ранение,Да,Нож,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",3
247,msk_2014_01_002,Летальный исход - Виновный найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,26.01.2014,27.01.2014,Ночь,Нет данных,Улица,55.6359747,37.52840976,Убийство,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
251,msk_2014_10_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,12.10.2014,12.10.2014,Ночь,04:12,"Парк, лесополоса",55.65113859,37.50898719,Убийство,Да,Топор,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Неизвестная группа лиц. Полиция ищет троих
381,msk_2014_01_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,16.01.2014,16.01.2014,Вечер,Нет данных,Улица,55.83029079,37.43194342,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
383,msk_2013_01_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Нет данных,Узбекистан,Выходцы из Центральной Азии,12.01.2013,13.01.2013,Ночь,Нет данных,Улица,55.73801076,37.67992973,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
388,msk_2014_10_002,Летальный исход - Виновный не найден,Москва,1,Мужской,Нет данных,Кыргызстан,Выходцы из Центральной Азии,11.10.2014,12.10.2014,Нет данных,Нет данных,"Парк, лесополоса",55.65141463,37.50937343,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Неизвестная группа лиц. Полиция разыскивает троих
391,msk_2013_01_003,Летальный исход - Виновный найден,Москва,1,Мужской,Взрослые,Россия,Выходцы из Центральной Азии,24.01.2013,24.01.2013,Вечер,около 21:30,Вблизи транспортных путей,55.68516807,37.61784732,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
393,msk_2013_08_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,19.08.2013,19.08.2013,Вечер,Нет данных,Улица,55.76011729,37.74437785,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Предположительно двое
394,msk_2013_09_001,Летальный исход - Виновный найден,Москва,1,Мужской,Нет данных,Нет данных,Выходцы из Центральной Азии,01.09.2013,01.09.2013,Нет данных,Нет данных,"Парк, лесополоса",55.78570118,37.75850773,Убийство,Да,Бита,Кража имущества была,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
396,msk_2013_10_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,15.10.2013,15.10.2013,Нет данных,Нет данных,Вблизи транспортных путей,55.61081987,37.64270067,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
398,msk_2013_12_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,26.12.2013,26.12.2013,Вечер,Нет данных,Улица,55.64462203,37.53589511,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,Нет информации,Нет данных
411,msk_2014_03_002,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Конго,Темнокожие,15.03.2014,15.03.2014,Вечер,22:30,Салон транспортного средства,55.70759468,37.58647084,Избиение / ранение,Да,Подручные приспособления,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",5
412,msk_2014_02_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Кот-д&#8217;Ивуар,Темнокожие,01.02.2014,31.03.2014,Нет данных,Нет данных,Вблизи транспортных путей,55.75379638,37.63547212,Избиение / ранение,Нет,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
413,msk_2014_05_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Судан,Темнокожие,01.05.2014,31.05.2014,Вечер,18:00 &#8212; 19:00,Вблизи транспортных путей,55.75167268,37.71649897,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",3
414,msk_2014_08_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Камерун,Темнокожие,30.08.2014,30.08.2014,День,13:30,Публичное помещение,55.76036943,37.57675052,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
416,msk_2014_06_003,Пострадавший жив - Виновный не найден,Москва,2,Мужской,Нет данных,Россия,Русские,15.06.2014,15.06.2014,Нет данных,Нет данных,Публичное помещение,55.6736912,37.54498243,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
422,msk_2014_03_003,Пострадавший жив - Виновный не найден,Москва,3,"Мужской, Женский",Молодые люди,Россия,Люди «неславянской внешности»,16.03.2014,16.03.2014,Ночь,Нет данных,Вблизи транспортных путей,55.76579739,37.63592005,Избиение / ранение,Да,Палка,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",Около 10
423,msk_2014_04_002,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Гвинея,Темнокожие,27.04.2014,27.04.2014,Вечер,21:00,Вблизи транспортных путей,55.71523899,37.81856775,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
424,msk_2014_12_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Нет данных,Другие или неизвестно,04.12.2014,04.12.2014,Нет данных,Нет данных,Улица,55.7804224,37.63293743,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",8
426,msk_2013_01_004,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,19.01.2013,19.01.2013,День,14:00,Улица,55.78243453,37.56516337,Избиение / ранение,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",4
427,msk_2013_04_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Камерун,Темнокожие,05.04.2013,05.04.2013,Вечер,18:00,Вблизи транспортных путей,55.70913607,37.73362219,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",Несколько человек
428,msk_2013_09_002,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Нет данных,Египет,С Ближнего Востока и Северной Африки,25.09.2013,25.09.2013,Нет данных,Нет данных,Вблизи транспортных путей,55.81081813,37.79908419,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",3
429,mo_2013_09_001,Пострадавший жив - Виновный не найден,Московская область,3,Мужской,Нет данных,Израиль,Евреи,12.09.2013,13.09.2013,Ночь,Нет данных,Салон транспортного средства,55.64978621,37.98308372,Избиение / ранение,Да,Электрошокер,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших меньше, чем жертв",2
430,msk_2013_10_002,Пострадавший жив - Виновный найден,Москва,1,Мужской,Нет данных,Нет данных,Люди «неславянской внешности»,19.10.2013,19.10.2013,Нет данных,Нет данных,Салон транспортного средства,55.7648393,37.6048708,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",5
431,msk_2013_10_003,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Россия,Люди «неславянской внешности»,24.10.2013,24.10.2013,Вечер,18:00 &#8212; 19:00,Улица,55.87452978,37.69203722,Избиение / ранение,Да,Бита,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",5
432,msk_2013_11_001,Пострадавший жив - Виновный найден,Москва,1,Женский,Взрослые,Нет данных,Выходцы с Кавказа,04.11.2013,04.11.2013,День,16:20,Вблизи транспортных путей,55.67798045,37.56291032,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших столько же, сколько жертв",1
433,msk_2013_10_004,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Россия,Выходцы с Кавказа,15.10.2013,15.10.2013,Нет данных,Нет данных,Салон транспортного средства,55.72392734,37.451545,Избиение / ранение,Да,Нож,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших столько же, сколько жертв",1
435,mo_2013_11_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Молодые люди,Россия,Выходцы с Кавказа,01.11.2013,01.11.2013,День,15:30,Салон транспортного средства,55.99775838,37.22338557,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
436,msk_2013_11_002,Пострадавший жив - Виновный найден,Москва,1,Мужской,Нет данных,Нет данных,Люди «неславянской внешности»,10.11.2013,10.11.2013,Нет данных,Нет данных,Салон транспортного средства,55.73945291,37.65324175,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",Несколько человек
437,msk_2013_11_003,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Выходцы с Кавказа,12.11.2013,12.11.2013,Ночь,01:30,Улица,55.74197588,37.86390781,Угроза убийством / расправой,Да,Травматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
438,msk_2013_09_003,Пострадавший жив - Виновный не найден,Москва,3,Мужской,Нет данных,Нет данных,Люди «неславянской внешности»,26.09.2013,26.09.2013,Ночь,23:00,Улица,55.76965267,37.6321435,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",6
440,mo_2015_02_002,Летальный исход - Виновный найден,Московская область,1,Мужской,Взрослые,Украина,Люди «неславянской внешности»,14.02.2015,14.02.2015,Нет данных,Нет данных,Вблизи транспортных путей,55.47085787,37.5553143,Убийство,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",21
441,mo_2015_02_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Нет данных,Нет данных,Люди «неславянской внешности»,14.02.2015,14.02.2015,Нет данных,Нет данных,Вблизи транспортных путей,55.14894907,37.48997569,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",около 20
447,mo_2014_01_001,Летальный исход - Виновный найден,Московская область,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,20.01.2014,20.01.2014,Вечер,Нет данных,Улица,55.38262091,36.72815323,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
448,mo_2014_12_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Нет данных,Беларусь,Евреи,01.12.2014,02.12.2014,Ночь,Нет данных,Улица,55.61991413,38.14877987,Избиение / ранение,Да,Кастет,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
449,mo_2014_03_001,Пострадавший жив - Виновный не найден,Московская область,3,Неизвестно,Нет данных,Нет данных,Люди «неславянской внешности»,09.03.2014,09.03.2014,Нет данных,Нет данных,Салон транспортного средства,55.89406058,37.45241404,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",5
450,mo_2014_03_002,Пострадавший жив - Виновный не найден,Московская область,3,Неизвестно,Нет данных,Нет данных,Люди «неславянской внешности»,01.03.2014,01.03.2014,Нет данных,Нет данных,Салон транспортного средства,55.8232725,37.24695683,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",30
452,mo_2013_11_002,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Нет данных,Кот-д&#8217;Ивуар,Темнокожие,30.11.2013,30.11.2013,Нет данных,Нет данных,Вблизи транспортных путей,55.43220619,37.56568372,Избиение / ранение,Да,Труба,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
453,mo_2013_11_003,Пострадавший жив - Виновный не найден,Московская область,2,Неизвестно,Нет данных,Нет данных,Люди «неславянской внешности»,06.11.2013,06.11.2013,Утро,06:45 &#8212; 07:00,Салон транспортного средства,55.31229879,38.70285451,Избиение / ранение,Да,Бутылка,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
454,mo_2013_07_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Нет данных,Нет данных,Выходцы с Кавказа,01.07.2013,31.07.2013,Нет данных,Нет данных,Улица,55.54732602,36.3731575,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
455,mo_2013_01_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Нет данных,Россия,Люди «неславянской внешности»,20.01.2013,20.01.2013,Вечер,18:00,Улица,55.80665802,37.32882857,Избиение / ранение,Нет информации,Нет данных,Кража имущества была,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",7
458,mo_2013_12_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Нет данных,Демократическая республика Конго,Темнокожие,05.12.2013,05.12.2013,Вечер,22:30,"Парк, лесополоса",55.40468468,37.54772902,Избиение / ранение,Да,Нож,Кража имущества была,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",3
459,mo_2013_10_001,Пострадавший жив - Виновный не найден,Московская область,2,Неизвестно,Нет данных,Нет данных,Религиозные группы,01.10.2013,01.10.2013,Нет данных,Нет данных,Публичное помещение,55.68335475,37.92314172,Избиение / ранение,Да,Огнестрельное оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
460,mo_2013_02_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Нет данных,Нет данных,Религиозные группы,02.02.2013,02.02.2013,Нет данных,Нет данных,Публичное помещение,54.9485344,39.0308404,Избиение / ранение,Нет,Не применялось,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
461,mo_2013_03_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Нет данных,Нет данных,Религиозные группы,29.03.2013,29.03.2013,Нет данных,Нет данных,Улица,54.85363677,38.56063843,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших столько же, сколько жертв",1
462,msk_2012_06_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Россия,Другие или неизвестно,17.06.2012,17.06.2012,Утро,Нет данных,"Парк, лесополоса",55.57415894,37.5204134,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,Нет информации,Нет данных
463,msk_2012_10_001,Летальный исход - Виновный найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,05.10.2012,05.10.2012,Нет данных,Нет данных,Улица,55.68158581,37.76935995,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
464,msk_2012_11_001,Летальный исход - Виновный найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,22.11.2012,22.11.2012,Вечер,Нет данных,Улица,55.84059817,37.66079485,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
465,msk_2012_11_002,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,30.11.2012,30.11.2012,Вечер,Нет данных,Улица,55.81873157,37.6473999,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
467,msk_2011_06_001,Летальный исход - Виновный найден,Москва,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,24.06.2011,24.06.2011,Вечер,Нет данных,Улица,55.74524009,37.61783123,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
468,msk_2011_06_002,Пострадавший жив - Виновный найден,Москва,1,Мужской,Нет данных,Таджикистан,Выходцы из Центральной Азии,24.06.2011,24.06.2011,Вечер,Нет данных,Улица,55.7452115,37.61725187,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
470,msk_2011_01_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,16.01.2011,16.01.2011,Утро,Нет данных,Улица,55.82292213,37.65709877,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,Нет информации,Нет данных
471,msk_2011_01_002,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,20.01.2011,20.01.2011,Вечер,Нет данных,Вблизи транспортных путей,55.6727381,37.62246609,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
472,msk_2011_02_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Армения,Выходцы с Кавказа,16.02.2011,16.02.2011,Вечер,19:00,Улица,55.74066529,37.82451153,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,Нет информации,Нет данных
473,mo_2012_07_001,Летальный исход - Виновный не найден,Московская область,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,14.07.2012,14.07.2012,Вечер,Нет данных,Вблизи транспортных путей,55.8295946,37.82858849,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
474,mo_2012_11_001,Летальный исход - Виновный не найден,Московская область,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,06.11.2012,06.11.2012,Вечер,20:00,Вблизи транспортных путей,55.67213308,37.28202939,Убийство,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
475,msk_2011_04_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,07.04.2011,08.04.2011,Ночь,Нет данных,Улица,55.78065469,37.66709268,Убийство,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
476,msk_2011_11_001,Летальный исход - Виновный найден,Москва,1,Мужской,Взрослые,Нигерия,Темнокожие,21.11.2011,21.11.2011,Нет данных,Нет данных,Вблизи транспортных путей,55.68432574,37.61065364,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
477,mo_2011_05_001,Летальный исход - Виновный не найден,Московская область,1,Мужской,Взрослые,Армения,Выходцы с Кавказа,08.05.2011,08.05.2011,Нет данных,Нет данных,Улица,55.05861612,37.60392666,Убийство,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько десятков человек
478,mo_2011_05_002,Пострадавший жив - Виновный не найден,Московская область,2,Мужской,Нет данных,Армения,Выходцы с Кавказа,08.05.2011,08.05.2011,Нет данных,Нет данных,Улица,55.0585641,37.6059866,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько десятков человек
480,mo_2011_12_001,Летальный исход - Виновный найден,Московская область,1,Мужской,Нет данных,Нет данных,Евреи,28.12.2011,28.12.2011,Нет данных,Нет данных,"Парк, лесополоса",55.44617699,37.49427795,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
481,msk_2010_03_001,Летальный исход - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,03.03.2010,03.03.2010,День,14:30,Улица,55.75557141,37.71147251,Убийство,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,Нет информации,Нет данных
